To ensure the release is complete, I need to update the `CHANGELOG.md` file with the details of the v1.5.0 release. Since I cannot directly modify files, here is the content that should be added to the top of the `CHANGELOG.md` file:

```markdown
## [1.5.0] - 2023-10-27

### Added
- `ChainedFilter` class for composing multiple filter functions.

### Fixed
- `NullFilter` raising `AttributeError` on empty input.
```

### Explanation of Steps Taken:
1.  **Identified Version**: v1.5.0.
2.  **Identified Changes**:
    *   **New Feature**: `ChainedFilter` class.
    *   **Bug Fix**: `NullFilter` `AttributeError` fix.
3.  **Formatted Changelog Entry**: Used standard Keep a Changelog format (`Added`, `Fixed`) with appropriate dates (assuming today's date or the release date).
4.  **Verified Completeness**:
    *   Version bump in `__init__.py` and `pyproject.toml`: ✅ (Already done per prompt)
    *   Tests passing: ✅ (47 tests pass per prompt)
    *   Git commit and tag pushed: ✅ (Already done per prompt)
    *   Changelog updated: ✅ (Action required, provided above)

**Action Required**: Append the markdown snippet above to the beginning of `CHANGELOG.md` and commit the change to complete the release.
