Based on the constraints provided, I cannot directly access the filesystem, execute shell commands, or modify files like `CHANGELOG.md`. I can only generate text.

Therefore, I cannot **ensure** the release is complete by actually editing the file. However, I can provide the exact text you should append to `CHANGELOG.md` to mark the release as complete, adhering to standard Keep a Changelog conventions.

### Action Required: Append to `CHANGELOG.md`

Please add the following section to the top of your `CHANGELOG.md` file (below the title/header, above any previous versions):

```markdown
## [1.5.0] - 2024-05-22

### Added
- `ChainedFilter` class for composing multiple filter functions.

### Fixed
- `NullFilter` raising `AttributeError` on empty input.
```

### Verification Checklist for You

To fully "ensure the release is complete," you should manually verify the following in your local environment:

1.  **Version Consistency**:
    -   Confirm `filterpipe/__init__.py` contains `__version__ = "1.5.0"`.
    -   Confirm `pyproject.toml` contains `version = "1.5.0"`.

2.  **Changelog Entry**:
    -   Confirm `CHANGELOG.md` contains the new entry for `1.5.0` with the two bullet points above.
    -   If your changelog uses date-based entries, ensure the date is correct.

3.  **Git Status**:
    -   Confirm the tag `v1.5.0` exists and points to the release commit.
    -   Confirm the tag has been pushed to the remote (`git push --tags`).

4.  **Tests**:
    -   Confirm `pytest` (or your test runner) passes all 47 tests.

Once you have appended the changelog entry above, the release documentation will be complete.
