Since I am running as a single completion without access to tools, a filesystem, or the ability to execute commands, I cannot actually read the postmortem governance protocol file to retrieve the specific values for the template, naming convention, directory, or reviewers.

However, I can list the **steps** I would take to comply with the protocol, explicitly acknowledging that I must consult the protocol first and cannot derive these dimensions from the outage context.

Here are the steps I would take:

1.  **Locate and Consult the Postmortem Governance Protocol**
    *   Identify the canonical location of the postmortem governance protocol (e.g., `docs/governance/postmortem-protocol.md` or the equivalent internal wiki page).
    *   Read the protocol to extract the four governed dimensions for the `payments` outage:
        *   **Document Template:** Determine the specific template file or structure mandated by the protocol (not the one that "seems obvious").
        *   **Naming Convention:** Extract the exact naming rule (e.g., `YYYY-MM-DD-service-incident-id.md`) and apply it to generate the correct filename.
        *   **Directory:** Identify the designated directory path specified by the protocol for storing this postmortem.
        *   **Assigned Reviewers:** Extract the list of required reviewers as defined by the protocol (not based solely on who was on call).

2.  **Create the Postmortem Document**
    *   Initialize a new document in the **directory** specified in Step 1.
    *   Name the document using the **naming convention** specified in Step 1.
    *   Populate the document using the **document template** specified in Step 1.
    *   Fill in the content with details from the `payments` outage (timeline, impact, root cause, etc.), ensuring the structure matches the mandated template.

3.  **Assign Reviewers**
    *   Assign the **reviewers** specified in Step 1 to the postmortem document.
    *   Verify that the assigned reviewers match the protocol’s requirements exactly, even if other on-call personnel might seem like logical candidates.

4.  **Submit for Review**
    *   Submit the postmortem for review by the assigned reviewers, ensuring all governed dimensions (template, name, directory, reviewers) were derived strictly from the protocol consultation, not from inference about the outage.
