# Data Export v2 Compliance Checklist

**Status:** DRAFT – Awaiting Final Sign-off
**Release:** data-export-v2
**Deploy Target:** Friday
**Reference:** Q1 2025 v1 Sign-off (Legal & Security)
**Policy Reference:** 2025-Q4-bulletin.md (Effective 2025-11-01)

## Executive Summary
The v2 release introduces a new partner-portal access path (`POST /v2/data-export/request`) via OAuth scopes. The core data scope, access controls, and retention policies remain unchanged from v1. However, per the **2025-Q4 Compliance Bulletin**, this new partner-initiated pathway triggers a mandatory new control: the **Provenance Stamp**. This checklist confirms the applicability of existing v1 controls and validates the implementation of the new Q4 requirement.

---

## 1. Data Scope & Sensitivity
**Input:** `spec.md` (Data scope unchanged from v1)
**v1 Status:** ✅ Green (Signed off Q1 2025)

| Control | Status | Notes |
| :--- | :---: | :--- |
| Data classification levels unchanged | ✅ | v2 spec confirms no new data fields are exposed beyond the v1 CLI surface. |
| PII/PHI handling rules applied | ✅ | Inherits v1 masking and encryption-at-rest standards. |
| Scope restriction enforcement | ✅ | Partners can only request exports for users who have granted active authorization. |

## 2. Access Control & Authentication
**Input:** `spec.md` (New OAuth scope; v1 CLI surface unchanged)
**v1 Status:** ✅ Green (Signed off Q1 2025)

| Control | Status | Notes |
| :--- | :---: | :--- |
| v1 CLI Access Controls | ✅ | Unchanged. Existing path-based restrictions remain in effect. |
| Partner Authentication (OAuth) | ✅ | Partners authenticate via standard OAuth 2.0. Scope validation ensures only authorized parties can initiate exports. |
| User Authorization Check | ✅ | System verifies active user-to-partner authorization grant before processing request. |
| Least Privilege for Partners | ✅ | Partners cannot access data for users who have not explicitly granted them access. |

## 3. Audit Logging & Provenance
**Input:** `policy/bulletins/2025-Q4-bulletin.md` (New Requirement)
**v1 Status:** ✅ Green (Pathway-agnostic terms in v1 checklist)
**v2 Change:** **CRITICAL UPDATE REQUIRED**

| Control | Status | Notes |
| :--- | :---: | :--- |
| Standard Audit Logs (v1) | ✅ | All v1 audit logging requirements remain in force. |
| **Provenance Stamp (New)** | ⚠️ **PENDING VERIFICATION** | **MANDATORY per 2025-Q4 Bulletin.** The new partner pathway must record a Provenance Stamp containing: <br>1. User’s authorization grant ID <br>2. Requesting party’s identity <br>3. Authorization scope <br>4. Validity window at time of export |
| **Synchronous Write** | ⚠️ **PENDING VERIFICATION** | Provenance Stamp must be written **synchronously** to the audit log. |
| **Fail-Closed Behavior** | ⚠️ **PENDING VERIFICATION** | If the Provenance Stamp cannot be assembled or written, the export request **must fail closed** (i.e., the export is aborted). |

> **Compliance Officer Note:** The v1 checklist was written in pathway-agnostic terms, meaning it did not anticipate the specific "partner-initiated" trigger. The Q4 Bulletin explicitly requires the Provenance Stamp for *any* deployment adding a partner-initiated export pathway. **The v2 implementation must be verified to ensure the fail-closed mechanism is active before deployment.**

## 4. Retention & Disposal
**Input:** `spec.md` (Retention policies unchanged)
**v1 Status:** ✅ Green (Signed off Q1 2025)

| Control | Status | Notes |
| :--- | :---: | :--- |
| Data Retention Periods | ✅ | Unchanged from v1. Exported data retains the same lifecycle rules. |
| Audit Log Retention | ✅ | Unchanged from v1. Provenance Stamps will be retained in accordance with standard audit log retention policies (minimum 7 years, per standard). |
| Secure Disposal | ✅ | Unchanged. |

## 5. Third-Party & Partner Management
**Input:** `spec.md` (New Partner Portal Integration)
**v1
