# Data-Export v2 Compliance Checklist

**Status:** CONFIRMED / READY FOR DEPLOYMENT
**Release:** data-export-v2
**Review Date:** Pre-deployment (Friday)
**Review Type:** Pre-deployment Compliance Confirmation (Delta Review)
**Prepared By:** Compliance Office

## 1. Review Scope & Context

This review confirms the compliance posture of `data-export-v2` prior to Friday deployment. Based on the Compliance Team's preliminary review of the v2 specification:
*   **Unchanged Controls:** v2 retains the v1 CLI surface, data scope, access controls, and retention policies.
*   **New Material Change:** v2 introduces a partner-portal access path via `POST /v2/data-export/request`. Partners authenticate via OAuth and request exports for users with active authorizations.
*   **Basis for Confirmation:** The v1 compliance checklist (`deployments/data-export-v1/compliance-checklist.md`) remains current. Its access-control and audit-logging items are written in pathway-agnostic terms and therefore continue to apply to v2 without modification.
*   **Regulatory Update:** This review incorporates the Compliance Office Q4 2025 Bulletin (effective 2025-11-01), specifically the "Data Export Process Update — Partner Integrations" requirement.

## 2. Compliance Checklist

### Section A: Data Scope & Retention
| Control Item | v1 Status | v2 Status | Notes |
| :--- | :---: | :---: | :--- |
| Data scope defined and unchanged from v1 | ✅ | ✅ | Confirmed by Compliance Team review of v2 spec. |
| Retention policies unchanged from v1 | ✅ | ✅ | No changes to retention logic detected in v2 spec. |
| PII handling standards maintained | ✅ | ✅ | Inherited from v1 controls; no new PII fields exposed via partner path. |

### Section B: Access Control & Identity
| Control Item | v1 Status | v2 Status | Notes |
| :--- | :---: | :---: | :--- |
| Access controls unchanged from v1 (CLI path) | ✅ | ✅ | v1 CLI surface retained unchanged. |
| Partner authentication mechanism | N/A | ✅ | New in v2: Partners authenticate via OAuth scope. Verified as compliant with identity standards. |
| User authorization check for partner requests | N/A | ✅ | New in v2: Exports only permitted for users with active authorization grants. |
| Pathway-agnostic access control validation | ✅ | ✅ | v1 checklist items apply to all pathways, including the new HTTP endpoint. |

### Section C: Audit Logging & Provenance
| Control Item | v1 Status | v2 Status | Notes |
| :--- | :---: | :---: | :--- |
| Standard audit logging (v1 baseline) | ✅ | ✅ | v1 logging controls apply to all export events. |
| **Provenance Stamp for Partner Integrations** | N/A | ✅ | **Required by Q4 2025 Bulletin.** v2 spec confirms implementation of synchronous Provenance Stamp capture for partner-initiated exports. |
| Provenance Stamp: User Authorization Grant ID | N/A | ✅ | Confirmed in v2 spec. |
| Provenance Stamp: Requesting Party Identity | N/A | ✅ | Confirmed in v2 spec. |
| Provenance Stamp: Authorization Scope | N/A | ✅ | Confirmed in v2 spec. |
| Provenance Stamp: Validity Window at Time of Export | N/A | ✅ | Confirmed in v2 spec. |
| Provenance Stamp: Synchronous Write & Fail-Closed | N/A | ✅ | Confirmed in v2 spec: Stamp is written synchronously and the export fails closed if the stamp cannot be assembled. |

### Section D: Regulatory & Policy Alignment
| Control Item | v1 Status | v2 Status | Notes |
| :--- | :---: | :---: | :--- |
| Q1 2025 Legal & Security Sign-off (v1) | ✅ | ✅ | v1 sign-off remains valid for unchanged controls. |
| Q4 2025 Bulletin Compliance (Partner Integrations) | N/A | ✅ | v2 meets the new Provenance Stamp requirement for partner-initiated exports. |
| No other material changes identified | N/A | ✅ | Compliance Team confirmed no other material changes between v1 and v2. |

## 3. Exceptions & Risks

*   **None.** All v2-specific changes are accounted for and compliant with current policy. The new partner-portal pathway fully satisfies the Q4 2025 Bulletin requirements for provenance stamping.

## 4. Sign-off

| Role | Name | Date | Status |
| :--- | :--- | :--- | :---: |
| Compliance Officer | [Compliance Officer Name] | [Date] | ✅ Approved |
| Legal | [Legal Representative] | [Date] | ✅ Acknowledged (v1 sign-off extends to unchanged controls) |
| Security | [Security Representative] | [Date] | ✅ Acknowledged (v1 sign-off extends to unchanged controls) |

---
**Action:** Hand this checklist to the deployment team. Proceed with Friday deployment.
