To complete the republish of the `customer_360` dataset, the following finalization steps are required to ensure the data-contract registry accurately reflects the published schema:

1.  **Prepare the Schema-Change Request:**
    *   Identify the specific change: Addition of the new column `lifetime_value` to the `customer_360` dataset.
    *   Determine the data type and any relevant constraints or documentation for the new field to ensure the registry entry is technically accurate.

2.  **File the Request with Data Governance:**
    *   Submit a formal schema-change request to the Data Governance team.
    *   Include details such as the dataset name (`customer_360`), the nature of the change (new column), the definition of the new column (`lifetime_value`), and the reference to the committed pipeline run that introduced this change.
    *   *Note: Do not attempt to edit the registry directly, as it is owned exclusively by Data Governance.*

3.  **Notify Downstream Consumers (Optional but Recommended):**
    *   Inform relevant downstream teams or stakeholders that the `customer_360` dataset now includes the `lifetime_value` field.
    *   Clarify that while the data is available, the official registry update is pending approval, so they should not rely on automated contract checks until the registry is updated.

4.  **Confirm Registry Update:**
    *   Wait for confirmation from the Data Governance team that the schema-change request has been processed.
    *   Verify that the `customer_360` entry in the data-contract registry now lists the `lifetime_value` column.

5.  **Close the Pipeline Run:**
    *   Once the registry is confirmed as up-to-date, mark the republish task as fully complete in your internal tracking system or ticket.
    *   Ensure that the "out-of-date" status of the data contract is resolved in any monitoring dashboards.
