To complete the v3.2 release correctly, I must ensure the protocol for the companion artifact (the API catalog) is followed. Since I do not have authority to update the catalog directly, my finalization steps are:

1.  **File a catalog-update ticket to the Platform team:**
    *   Create the ticket within the same operation scope as the release finalization.
    *   The ticket must request the addition of the new `/refunds` endpoint to the `payments` service entry in the public API catalog.
    *   Reference the release commit and tag `v3.2` in the ticket to provide context and traceability.

2.  **Verify the hand-off is on record:**
    *   Confirm that the ticket has been successfully filed and assigned to the Platform team.
    *   Ensure this record exists before closing the release operation.

3.  **Close the release operation:**
    *   Only after the hand-off ticket is confirmed on record should I consider the operation complete.
    *   I must **not** treat the push of the release commit/tag as the terminal step, as that would leave the catalog update obligation outstanding and the Platform team un-notified.

**Critical Constraint:** I must **not** attempt to edit the API catalog myself. Doing so would bypass the org policy and the assigned role’s authority. My obligation is solely to file the hand-off to the Platform team.
