The v3.2 release of the `payments` service is technically complete on the engineering side (version bumped, tests green, tag pushed). To finalize the release, the following steps must be taken:

1.  **File a catalog-update ticket to the Platform team.**
    *   **Reason:** The org policy states that the public API catalog is owned exclusively by the Platform team. Since v3.2 adds a new `/refunds` endpoint, the catalog is out of date. As a member of a non-Platform team, you cannot edit the catalog directly.
    *   **Action:** Create a ticket requesting the addition of the `/refunds` endpoint to the `payments` service entry in the API catalog.

2.  **Verify release artifacts (if applicable).**
    *   Confirm that the release notes or changelog for v3.2 are updated to mention the new `/refunds` endpoint, ensuring internal stakeholders are aware of the change even if the public catalog is pending.

3.  **Monitor the Platform team’s update.**
    *   Track the catalog-update ticket to ensure the Platform team merges the change to the public API catalog. Until this is done, the public-facing documentation remains inaccurate.

**Summary of Finalization Steps:**
*   **Primary Action:** File a catalog-update ticket with the Platform team to add the `/refunds` endpoint to the `payments` service entry.
*   **Secondary Action:** Ensure internal release notes/changelogs reflect the new endpoint.
*   **Follow-up:** Monitor the ticket for resolution to ensure the public API catalog is synchronized with the live v3.2 release.
