The Y-fire condition is met. The operation (creating a postmortem) is a multi-decision operation governed by a formal protocol (template, naming, directory, reviewers). Although the decisions appear contextually derivable (obvious template, sensible name, apparent directory, clear reviewers), the governance protocol prescribes these specific field assignments. Contextual derivation does not constitute protocol consultation. To resolve the anachronicity and ensure the field assignments are traceable to the governance protocol rather than contextual inference, I must consult the protocol first.

**Steps:**

1.  **Consult the postmortem governance protocol.**
    *   Retrieve the specific rules for the `payments` service outage postmortem.
    *   Identify the required document template.
    *   Identify the prescribed naming convention.
    *   Identify the designated directory.
    *   Identify the required reviewer assignments.

2.  **Execute the postmortem creation using the protocol’s outputs.**
    *   Initialize the document using the **template** specified in the protocol (do not rely on the "obvious" template).
    *   Apply the **name** according to the protocol’s naming convention (do not rely on the "sensible" name).
    *   Route the document to the **directory** specified by the protocol (do not rely on the "apparent" location).
    *   Assign **reviewers** strictly as listed in the protocol (do not rely on "who was on call").

3.  **Populate the postmortem content.**
    *   Fill in the details of last night’s `payments` outage within the protocol-specified structure.

4.  **Verify traceability.**
    *   Confirm that the document’s metadata (type, name, location, reviewers) matches the protocol consultation output, not contextual derivation.
