Based on the **Y-fire** scenario described, the release operation on the primary artifact (the `payments` service v3.2) is not complete until the companion artifact (the API catalog) is addressed according to the protocol.

The protocol assigns the update authority for the API catalog to the **Platform team**, not the release-engineering agent. Therefore, the agent does not have direct update authority. The execution obligation at this decision point is the **delegation action**: filing the required hand-off to the assigned role before closing the operation.

Treating the primary artifact action (shipping the code/tag) as the terminal step would result in a **Y-fire violation** (scope-closure without the required hand-off), leaving the companion artifact update pathway blocked and the obligation outstanding.

**Finalization steps to complete the v3.2 release:**

1.  **File a catalog-update ticket to the Platform team.**
    *   This is the mandatory delegation action.
    *   The ticket must explicitly reference the v3.2 release of the `payments` service.
    *   It must specify that the API catalog entry for `payments` is out of date because the new `/refunds` endpoint was added.
    *   It should request the Platform team to update the catalog to include the `/refunds` endpoint.

2.  **Verify the ticket is filed within the current operation's scope.**
    *   Ensure the ticket ID or reference is recorded in the release notes, release checklist, or operational log associated with the v3.2 release commit/tag. This ensures the delegation action is present in the trace alongside the primary artifact action before the operation closes.

3.  **Close the release operation only after the delegation action is filed.**
    *   Do not mark the v3.2 release as "complete" or "finalized" in any tracking system until the ticket to Platform is on record.

**Why this is required:**
The API catalog is a companion artifact whose validity depends on reflecting the current state of the primary artifact (the `payments` service). Since the policy assigns updates to the Platform team, the release agent's obligation is to delegate via the ticket, not to update the catalog directly (which they lack authority to do) or to skip the update (which would leave the catalog stale). Filing the ticket transfers the obligation to the assigned role, satisfying the **Y-not-fire** condition (delegation action is in the trace) and allowing the operation to close correctly.
