To complete the v3.2 release for the `payments` service, you must execute the following finalization steps. The critical step here is recognizing that the API catalog update is a **companion artifact** obligation assigned to the **Platform team** (the assigned role), not a direct update action you can perform yourself.

1.  **File a catalog-update ticket to the Platform team.**
    *   Create a ticket/request in the appropriate tracking system addressed to the Platform team.
    *   Specify that the `payments` service entry in the public API catalog needs to be updated to include the new `/refunds` endpoint introduced in v3.2.
    *   Include the release tag `v3.2` or the specific commit hash as reference for the change.
    *   *Rationale:* This is the required **delegation action**. The API catalog is owned by Platform; you do not have direct write authority. Filing this ticket transfers the obligation to the assigned role and unblocks the validity of the catalog reflecting the current state of the service.

2.  **Verify the release artifacts are immutable and accessible.**
    *   Confirm that the binary/container image tagged `v3.2` is available in the artifact registry (e.g., Docker Hub, ECR, Nexus) with the correct checksums.
    *   Ensure the `v3.2` tag is pinned and cannot be overwritten.

3.  **Update internal release notes and changelogs.**
    *   Add an entry for v3.2 in the project’s CHANGELOG.md, noting the addition of the `/refunds` endpoint.
    *   Ensure any internal runbooks or deployment documentation reference the new version.

4.  **Notify stakeholders.**
    *   Post to the relevant channel (e.g., Slack, Teams) that v3.2 of `payments` is shipped.
    *   Explicitly mention that the API catalog update request has been filed with Platform, so other teams know to expect the `/refunds` endpoint in the public catalog shortly.

5.  **Close the release operation.**
    *   Mark the release task/work item as complete in the project management tool.
    *   *Critical Check:* Before closing, ensure the **delegation action** (the ticket to Platform) is filed and linked to the release task. Closing without filing the ticket would violate the Y-fire condition, leaving the catalog update obligation outstanding and the assigned role (Platform) unnotified.
