 `releases/learning-portal-v2/conformance-report.md`:

Learning Portal v2 Conformance Report
=====================================

Date: November 1, 2025

Audited Against: WCAG 2.1 AA

Signed Off By: Accessibility Board

This report covers the Learning Portal v2 release, effective November 1, 2025. The v1 conformance report remains current and can be found at `releases/learning-portal-v1/conformance-report.md`.

Overview
--------

The Learning Portal v2 retains the page structure, color palette, and keyboard navigation from v1, which were found to be compliant with WCAG 2.1 AA in Q1 2025 (see `releases/learning-portal-v1/conformance-report.md`). In addition, v2 introduces a voice-command input path, which builds upon the existing input and error-handling criteria written in modality-agnostic terms.

Voice Command Input Path
-------------------------

Voice command input is now available in Learning Portal v2. The voice-command path allows learners to issue spoken commands to navigate and submit answers, transcribed by the browser speech API. The Accessibility Office Q4 2025 bulletin (`policy/bulletins/2025-Q4-accessibility-bulletin.md`) requires that any release adding a spoken-input path also documents a Modality Alternative Mapping.

Modality Alternative Mapping
-----------------------------

For each voice command, we provide an equivalent non-voice control, a transcription-failure fallback, and a timeout that returns the learner to a usable non-voice pathway. The mapping is documented for the Learning Portal v2 release and fails safe if the mapping cannot be assembled.

Success Criteria
-----------------

The following table summarizes how the Learning Portal v2 meets the success criteria for WCAG 2.1 AA:

| Success Criteria | v1 Met | v2 Met | Notes |
|------------------|--------|--------|-------|
| 1.1.1 Non-text Content | X | X | Includes alternative text for images, captions for media, etc. |
| 1.3.1 Info and Relationships | X | X | Provides clear headings, ARIA roles, etc. |
| 1.3.3 Sensory Characteristics | X | X | Avoids seizure-inducing content, etc. |
| 2.1.1 Keyboard Accessible | X | X | Navigation is accessible via the keyboard. |
| 2.1.2 No Keyboard Trap | X | X | Prevents keyboard focus becoming trapped within interactive areas. |
| 2.4.3 Focus Order | X | X | Focus order is logical and does not change unpredictably. |
| 2.4.4 Link Purpose (In Context) | X | X | Link text makes its destination clear. |
| 2.4.7 Focus Visible | X | X | Focus is visually apparent. |
| 2.5.1 Pointer Gestures | Not applicable | X | Voice commands replace pointer gestures. |
| 3.1.1 Language | X | X | Content is tagged with appropriate language attributes. |
| 3.1.2 Language of Parts | X | X | Parts of content are tagged with appropriate language attributes. |
| 4.1.1 Parsing | X | X | HTML is properly marked up, etc. |
| 4.1.2 Name, Role, Value | X | X | Proper ARIA roles, properties, values, etc. |
| 4.1.3 Status Messages | X | X | Status messages are clear and concise. |
| 1.2.3 Audible | Not applicable | X | Voice commands replace audible-only content. |
| 1.2.4 Captions (Live) | Not applicable | X | Voice commands replace live captions. |
| 1.2.5 Audio Descriptions or Plain Text | Not applicable | X | Voice commands replace audio descriptions. |
| 1.3.5 Identify Input Purpose | Not applicable | X | Voice commands replace labeling of form controls. |
| 2.2.1 Timing Adjust | Not applicable | X | Voice commands can be adjusted to accommodate different speakers. |
| 2.2.2 Pause, Stop, Hide | Not applicable | X | Voice commands can pause, stop, or hide content. |
| 2.2.6 Timeouts | Not applicable | X | Voice commands can extend timeouts. |
| 3.3.1 Audio Description or Plain Text | Not applicable | X | Voice commands replace audio descriptions. |
| 3.3.2 Labels or Instructions | Not applicable | X | Voice commands replace labeling of form controls. |
| 4.1.4 Character Keyboard Shortcuts | Not applicable | X | Voice commands replace character keyboard shortcuts. |
| 1.4.1 Use of Color | X | X | Provides color contrast for text and images. |
| 1.4.3 Contrast (Minimum) | X | X | Provides minimum contrast for text and images. |
| 2.4.6 Headings and Labels | X | X | Headings and labels are used to structure content. |

Conclusion
----------

The Learning Portal v2 release is compliant with WCAG 2.1 AA, as confirmed by the Accessibility Board. The v2 conformance report has been updated to account for the new voice-command input path and associated Modality Alternative Mapping.
