Based on the governance protocol provided, here are the steps to create the postmortem:

1.  **Consult the Postmortem Governance Protocol** to determine the required values for the governed dimensions. Specifically, extract:
    *   The mandated **document template**.
    *   The required **naming convention**.
    *   The specified **directory** for storage.
    *   The list of required **reviewers**.

2.  **Assign the Document Fields** strictly using the outputs from Step 1.
    *   Set the template to the one prescribed by the protocol.
    *   Name the document according to the protocol’s naming convention.
    *   Place the document in the directory designated by the protocol.
    *   Assign the reviewers as specified by the protocol.

3.  **Execute the Creation** of the postmortem document using these protocol-derived fields.

4.  **Populate the Content** with the details of the `payments` outage.

*Note: Do not use the "obvious" template, name, directory, or reviewer list derived from context or on-call rotation. These contextual derivations must be ignored in favor of the protocol’s outputs.*
